opportunity_id,account_name,region,industry,owner,lead_source,stage,amount,created_date,close_date,is_closed,is_won,notes
OPP-1036,Orion Group,APAC,Technology,B. Singh,Event,Negotiation,74938,2025-11-07,2025-11-03,False,False,Lost on missing SOC2 compliance.
OPP-1037,Zenith Corp,NA,Manufacturing,D. Patel,Partner,Closed Lost,11946,2024-01-02,2025-08-14,True,False,Lost on missing SOC2 compliance.
OPP-1038,Vertex Labs,LATAM,Technology,E. Shah,Referral,Prospecting,251154,2026-01-25,2025-07-08,False,False,Competitor Nimbus offered lower price.
OPP-1039,Cobalt Labs,LATAM,Retail,D. Patel,Referral,Negotiation,75438,2025-11-17,2026-08-20,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1040,Orion Systems,LATAM,Technology,C. Mehta,Referral,Negotiation,251185,2024-11-09,2026-11-08,False,False,"Renewal likely, happy with support."
OPP-1041,Cobalt Corp,NA,Technology,D. Patel,Partner,Proposal,10947,2026-02-05,2026-12-05,False,False,Waiting on legal review of MSA.
OPP-1042,Acme Labs,LATAM,Manufacturing,A. Rao,Event,Negotiation,249720,2025-01-07,2026-10-23,False,False,"Renewal likely, happy with support."
OPP-1043,Orion Systems,LATAM,Manufacturing,A. Rao,Partner,Closed Won,120236,2025-09-24,2025-08-08,True,True,Waiting on legal review of MSA.
OPP-1044,Acme Labs,LATAM,Retail,E. Shah,Web,Closed Won,249914,2025-12-06,2025-10-18,True,True,Competitor Nimbus offered lower price.
OPP-1045,Nova Industries,APAC,Finance,D. Patel,Event,Closed Won,4065,2024-08-06,2026-06-07,True,True,Price too high vs competitor Vega.
OPP-1046,Zenith Labs,EMEA,Technology,A. Rao,Referral,Qualification,120209,2024-08-01,2025-06-08,False,False,Lost on missing SOC2 compliance.
OPP-1047,Nova Industries,APAC,Finance,B. Singh,Outbound,Closed Lost,11939,2026-03-08,2025-10-07,True,False,Competitor Nimbus offered lower price.
OPP-1048,Summit Industries,LATAM,Healthcare,A. Rao,Outbound,Closed Won,73105,2024-05-04,2026-10-22,True,True,Lost on missing SOC2 compliance.
OPP-1049,Nova Systems,APAC,Technology,E. Shah,Event,Prospecting,248495,2025-11-20,2025-06-18,False,False,"Champion left the company, deal stalled."
OPP-1050,Nova Systems,NA,Retail,C. Mehta,Outbound,Closed Lost,25603,2025-02-14,2026-12-05,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1051,Nova Group,NA,Manufacturing,E. Shah,Outbound,Negotiation,26488,2026-10-09,2025-02-09,False,False,Price too high vs competitor Vega.
OPP-1052,Orion Systems,APAC,Retail,A. Rao,Outbound,Proposal,38868,2025-06-06,2026-05-11,False,False,Lost on missing SOC2 compliance.
OPP-1053,Zenith Labs,LATAM,Manufacturing,A. Rao,Web,Prospecting,76105,2026-07-16,2025-12-16,False,False,"Renewal likely, happy with support."
OPP-1054,Pinnacle Group,APAC,Manufacturing,E. Shah,Event,Qualification,120382,2026-04-10,2026-08-18,False,False,Waiting on legal review of MSA.
OPP-1055,Cobalt Systems,NA,Healthcare,B. Singh,Partner,Closed Won,10494,2025-05-09,2025-06-04,True,True,"Renewal likely, happy with support."
OPP-1056,Summit Group,NA,Finance,A. Rao,Outbound,Closed Won,6410,2026-10-10,2025-05-08,True,True,"Budget approved, moving to procurement."
OPP-1057,Cobalt Group,LATAM,Technology,A. Rao,Outbound,Qualification,121866,2024-09-10,2025-11-28,False,False,"Renewal likely, happy with support."
OPP-1058,Acme Industries,LATAM,Manufacturing,A. Rao,Outbound,Negotiation,4034,2025-06-06,2026-02-27,False,False,"Champion left the company, deal stalled."
OPP-1059,Atlas Industries,NA,Retail,D. Patel,Partner,Qualification,10485,2026-05-03,2026-10-20,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1060,Meridian Labs,NA,Healthcare,C. Mehta,Web,Qualification,75543,2026-07-10,2025-10-24,False,False,"Budget approved, moving to procurement."
OPP-1061,Pinnacle Corp,APAC,Technology,B. Singh,Event,Qualification,4673,2026-02-06,2026-12-20,False,False,"Renewal likely, happy with support."
OPP-1062,Zenith Systems,NA,Manufacturing,A. Rao,Outbound,Closed Won,13784,2025-02-22,2026-11-19,True,True,Lost on missing SOC2 compliance.
OPP-1063,Atlas Labs,APAC,Manufacturing,A. Rao,Partner,Closed Won,3679,2025-03-03,2026-10-24,True,True,"Renewal likely, happy with support."
OPP-1064,Nova Systems,APAC,Retail,C. Mehta,Web,Closed Won,39793,2025-09-18,2025-10-02,True,True,Competitor Nimbus offered lower price.
OPP-1065,Cobalt Group,NA,Manufacturing,E. Shah,Partner,Qualification,6132,2026-10-19,2026-10-02,False,False,"Renewal likely, happy with support."
OPP-1066,Nova Labs,APAC,Finance,A. Rao,Referral,Qualification,250014,2026-07-21,2025-08-12,False,False,Waiting on legal review of MSA.
OPP-1067,Summit Corp,APAC,Finance,A. Rao,Partner,Proposal,41332,2025-05-22,2025-08-03,False,False,"Champion left the company, deal stalled."
OPP-1068,Pinnacle Labs,LATAM,Technology,B. Singh,Event,Closed Won,3768,2026-08-14,2026-10-25,True,True,"Budget approved, moving to procurement."
OPP-1069,Orion Industries,EMEA,Retail,D. Patel,Web,Closed Lost,3118,2025-12-16,2025-12-06,True,False,Lost on missing SOC2 compliance.
OPP-1070,Orion Group,APAC,Manufacturing,D. Patel,Partner,Closed Lost,121408,2024-08-04,2025-08-23,True,False,Lost on missing SOC2 compliance.
OPP-1071,Cobalt Industries,LATAM,Finance,E. Shah,Event,Negotiation,75081,2024-07-07,2025-02-09,False,False,"Champion left the company, deal stalled."
OPP-1072,Pinnacle Corp,APAC,Finance,E. Shah,Outbound,Qualification,120005,2025-10-19,2025-08-18,False,False,Price too high vs competitor Vega.
OPP-1073,Cobalt Industries,LATAM,Technology,C. Mehta,Partner,Negotiation,12342,2025-04-23,2026-04-28,False,False,Price too high vs competitor Vega.
OPP-1074,Atlas Systems,APAC,Technology,D. Patel,Web,Proposal,41951,2026-11-05,2025-03-17,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1075,Orion Labs,APAC,Retail,D. Patel,Web,Prospecting,121972,2024-07-28,2025-02-16,False,False,Waiting on legal review of MSA.
OPP-1076,Atlas Industries,EMEA,Healthcare,C. Mehta,Referral,Closed Lost,120943,2026-07-11,2026-09-02,True,False,Competitor Nimbus offered lower price.
OPP-1077,Orion Industries,EMEA,Technology,C. Mehta,Web,Proposal,248411,2024-11-23,2026-03-23,False,False,"Renewal likely, happy with support."
OPP-1078,Meridian Corp,LATAM,Retail,B. Singh,Partner,Proposal,74687,2025-03-08,2025-03-06,False,False,"Budget approved, moving to procurement."
OPP-1079,Zenith Group,NA,Technology,D. Patel,Event,Qualification,25731,2026-05-15,2025-08-10,False,False,"Renewal likely, happy with support."
OPP-1080,Pinnacle Corp,EMEA,Healthcare,D. Patel,Outbound,Closed Won,41462,2025-12-09,2026-04-13,True,True,Waiting on legal review of MSA.
OPP-1081,Atlas Labs,EMEA,Retail,D. Patel,Event,Closed Won,250696,2026-05-01,2026-05-01,True,True,Lost on missing SOC2 compliance.
OPP-1082,Cobalt Labs,NA,Technology,A. Rao,Event,Closed Won,12543,2025-04-21,2026-11-25,True,True,"Strong technical fit, exec sponsor engaged."
OPP-1083,Nova Labs,NA,Healthcare,B. Singh,Outbound,Prospecting,6725,2025-12-05,2026-06-24,False,False,Waiting on legal review of MSA.
OPP-1084,Summit Labs,EMEA,Manufacturing,A. Rao,Referral,Negotiation,251867,2025-03-09,2026-05-24,False,False,Lost on missing SOC2 compliance.
OPP-1085,Nova Corp,EMEA,Finance,E. Shah,Web,Closed Lost,251295,2026-11-13,2026-02-26,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1086,Vertex Industries,LATAM,Technology,E. Shah,Outbound,Proposal,74560,2026-11-09,2026-02-22,False,False,Waiting on legal review of MSA.
OPP-1087,Zenith Labs,LATAM,Technology,B. Singh,Web,Closed Lost,121374,2024-11-03,2026-12-10,True,False,"Champion left the company, deal stalled."
OPP-1088,Summit Group,LATAM,Retail,B. Singh,Partner,Proposal,13634,2025-02-04,2025-07-15,False,False,Competitor Nimbus offered lower price.
OPP-1089,Nova Group,NA,Finance,A. Rao,Event,Closed Lost,5827,2026-07-09,2026-04-15,True,False,Waiting on legal review of MSA.
OPP-1090,Vertex Group,EMEA,Technology,C. Mehta,Referral,Prospecting,251375,2025-04-04,2026-02-22,False,False,"Budget approved, moving to procurement."
OPP-1091,Vertex Industries,APAC,Healthcare,E. Shah,Web,Closed Won,250270,2024-02-27,2025-10-07,True,True,"Renewal likely, happy with support."
OPP-1092,Acme Labs,NA,Technology,C. Mehta,Referral,Closed Lost,26270,2024-03-18,2025-02-22,True,False,Waiting on legal review of MSA.
OPP-1093,Pinnacle Corp,LATAM,Finance,E. Shah,Outbound,Prospecting,119724,2025-01-05,2025-12-03,False,False,Competitor Nimbus offered lower price.
OPP-1094,Acme Labs,EMEA,Manufacturing,D. Patel,Partner,Negotiation,121208,2024-10-02,2026-08-21,False,False,Competitor Nimbus offered lower price.
OPP-1095,Orion Systems,APAC,Manufacturing,E. Shah,Outbound,Negotiation,25491,2025-02-03,2025-02-05,False,False,"Renewal likely, happy with support."
OPP-1096,Cobalt Industries,NA,Manufacturing,D. Patel,Referral,Negotiation,250874,2026-07-04,2025-11-21,False,False,Price too high vs competitor Vega.
OPP-1097,Zenith Systems,APAC,Finance,B. Singh,Partner,Proposal,118389,2025-07-14,2026-07-11,False,False,Competitor Nimbus offered lower price.
OPP-1098,Acme Group,APAC,Technology,D. Patel,Event,Prospecting,6049,2024-02-14,2026-03-18,False,False,Price too high vs competitor Vega.
OPP-1099,Pinnacle Systems,NA,Healthcare,D. Patel,Referral,Closed Lost,74279,2026-01-10,2026-02-19,True,False,Competitor Nimbus offered lower price.
OPP-1100,Atlas Corp,EMEA,Retail,C. Mehta,Web,Proposal,249141,2026-06-04,2025-07-28,False,False,"Budget approved, moving to procurement."
OPP-1101,Nova Corp,EMEA,Healthcare,A. Rao,Web,Qualification,3743,2025-06-12,2025-10-22,False,False,Lost on missing SOC2 compliance.
OPP-1102,Meridian Corp,EMEA,Healthcare,B. Singh,Outbound,Proposal,24276,2025-06-06,2026-10-20,False,False,"Champion left the company, deal stalled."
OPP-1103,Vertex Group,EMEA,Finance,D. Patel,Web,Closed Won,39989,2025-08-22,2026-07-09,True,True,"Renewal likely, happy with support."
OPP-1104,Atlas Group,EMEA,Technology,B. Singh,Event,Closed Won,119263,2026-08-17,2025-04-13,True,True,Lost on missing SOC2 compliance.
OPP-1105,Vertex Labs,NA,Manufacturing,E. Shah,Referral,Closed Won,3031,2025-05-11,2026-12-14,True,True,Waiting on legal review of MSA.
OPP-1106,Nova Systems,LATAM,Manufacturing,C. Mehta,Web,Prospecting,4883,2026-01-14,2025-06-19,False,False,Price too high vs competitor Vega.
OPP-1107,Meridian Labs,NA,Manufacturing,E. Shah,Partner,Prospecting,74884,2025-03-26,2026-02-14,False,False,Competitor Nimbus offered lower price.
OPP-1108,Zenith Corp,EMEA,Retail,E. Shah,Referral,Proposal,11364,2025-12-11,2025-02-17,False,False,Waiting on legal review of MSA.
OPP-1109,Atlas Group,NA,Technology,B. Singh,Partner,Proposal,3599,2026-03-08,2026-04-06,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1110,Meridian Industries,LATAM,Technology,D. Patel,Partner,Closed Won,75633,2026-08-22,2026-11-11,True,True,"Renewal likely, happy with support."
OPP-1111,Acme Systems,EMEA,Finance,C. Mehta,Web,Closed Won,73303,2026-01-12,2026-08-15,True,True,Competitor Nimbus offered lower price.
OPP-1112,Atlas Labs,NA,Finance,E. Shah,Partner,Closed Won,75270,2026-07-15,2025-08-26,True,True,"Budget approved, moving to procurement."
OPP-1113,Vertex Labs,EMEA,Healthcare,D. Patel,Partner,Closed Lost,249406,2025-02-26,2025-09-21,True,False,"Budget approved, moving to procurement."
OPP-1114,Summit Labs,EMEA,Finance,A. Rao,Outbound,Proposal,249385,2025-07-14,2025-11-21,False,False,Price too high vs competitor Vega.
OPP-1115,Zenith Systems,NA,Finance,C. Mehta,Partner,Qualification,248615,2026-11-20,2026-02-19,False,False,"Budget approved, moving to procurement."
OPP-1116,Zenith Industries,EMEA,Manufacturing,E. Shah,Event,Closed Won,40635,2024-05-18,2026-03-22,True,True,"Champion left the company, deal stalled."
OPP-1117,Meridian Industries,EMEA,Finance,A. Rao,Outbound,Proposal,249991,2024-04-11,2025-04-05,False,False,"Champion left the company, deal stalled."
OPP-1118,Zenith Industries,NA,Manufacturing,A. Rao,Partner,Closed Won,38631,2026-03-20,2025-03-27,True,True,Waiting on legal review of MSA.
OPP-1119,Orion Corp,APAC,Manufacturing,B. Singh,Event,Closed Won,26081,2024-08-20,2026-04-18,True,True,"Strong technical fit, exec sponsor engaged."
OPP-1120,Atlas Group,NA,Finance,A. Rao,Partner,Negotiation,74714,2025-07-17,2025-04-26,False,False,Waiting on legal review of MSA.
OPP-1121,Cobalt Group,NA,Finance,D. Patel,Outbound,Closed Won,76486,2024-12-28,2025-05-03,True,True,"Budget approved, moving to procurement."
OPP-1122,Acme Group,LATAM,Retail,C. Mehta,Referral,Closed Lost,41623,2024-04-27,2026-01-14,True,False,Price too high vs competitor Vega.
OPP-1123,Summit Labs,NA,Healthcare,A. Rao,Event,Closed Lost,26812,2025-04-01,2025-12-21,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1124,Orion Labs,NA,Healthcare,E. Shah,Outbound,Closed Won,40520,2024-12-16,2025-02-01,True,True,Price too high vs competitor Vega.
OPP-1125,Atlas Industries,LATAM,Technology,A. Rao,Partner,Prospecting,3195,2025-04-10,2025-07-21,False,False,"Champion left the company, deal stalled."
OPP-1126,Summit Systems,NA,Retail,D. Patel,Referral,Closed Won,11193,2026-04-23,2026-01-20,True,True,Competitor Nimbus offered lower price.
OPP-1127,Pinnacle Corp,EMEA,Manufacturing,C. Mehta,Event,Negotiation,75078,2025-02-17,2025-07-28,False,False,"Champion left the company, deal stalled."
OPP-1128,Cobalt Group,APAC,Healthcare,A. Rao,Event,Proposal,120691,2024-06-08,2025-10-24,False,False,Waiting on legal review of MSA.
OPP-1129,Cobalt Corp,LATAM,Technology,C. Mehta,Referral,Closed Lost,119960,2024-11-15,2025-03-03,True,False,"Champion left the company, deal stalled."
OPP-1130,Cobalt Group,NA,Finance,C. Mehta,Web,Closed Won,74631,2024-06-10,2026-05-02,True,True,Waiting on legal review of MSA.
OPP-1131,Pinnacle Labs,LATAM,Finance,E. Shah,Event,Qualification,119801,2025-07-13,2026-06-06,False,False,Competitor Nimbus offered lower price.
OPP-1132,Meridian Corp,APAC,Finance,C. Mehta,Partner,Closed Won,248739,2024-07-20,2026-06-04,True,True,Price too high vs competitor Vega.
OPP-1133,Orion Systems,EMEA,Technology,D. Patel,Event,Qualification,5977,2025-06-15,2026-10-14,False,False,"Budget approved, moving to procurement."
OPP-1134,Orion Corp,APAC,Finance,D. Patel,Outbound,Closed Lost,249794,2024-10-22,2025-03-03,True,False,"Champion left the company, deal stalled."
OPP-1135,Pinnacle Group,APAC,Manufacturing,C. Mehta,Event,Closed Won,24818,2026-08-12,2025-10-05,True,True,Lost on missing SOC2 compliance.
OPP-1136,Orion Labs,APAC,Manufacturing,B. Singh,Outbound,Closed Lost,40120,2024-12-06,2026-09-04,True,False,"Renewal likely, happy with support."
OPP-1137,Cobalt Corp,LATAM,Technology,C. Mehta,Event,Closed Won,13493,2025-04-04,2025-08-06,True,True,Competitor Nimbus offered lower price.
OPP-1138,Vertex Industries,EMEA,Healthcare,B. Singh,Referral,Negotiation,12915,2025-05-28,2025-06-17,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1139,Acme Industries,APAC,Manufacturing,D. Patel,Outbound,Prospecting,41291,2026-10-12,2025-10-03,False,False,Price too high vs competitor Vega.
OPP-1140,Zenith Group,APAC,Healthcare,E. Shah,Outbound,Closed Won,25631,2026-02-05,2025-08-15,True,True,"Budget approved, moving to procurement."
OPP-1141,Orion Industries,NA,Healthcare,C. Mehta,Referral,Closed Won,248226,2024-07-17,2025-09-05,True,True,Waiting on legal review of MSA.
OPP-1142,Orion Systems,NA,Finance,E. Shah,Outbound,Closed Lost,4026,2026-05-28,2025-11-18,True,False,Competitor Nimbus offered lower price.
OPP-1143,Acme Labs,EMEA,Technology,E. Shah,Event,Negotiation,10701,2024-10-19,2026-10-02,False,False,Lost on missing SOC2 compliance.
OPP-1144,Pinnacle Corp,NA,Manufacturing,C. Mehta,Partner,Closed Won,5039,2025-10-21,2026-11-10,True,True,Competitor Nimbus offered lower price.
OPP-1145,Meridian Industries,APAC,Finance,C. Mehta,Partner,Closed Won,39902,2024-08-14,2025-06-20,True,True,"Budget approved, moving to procurement."
OPP-1146,Nova Group,NA,Healthcare,A. Rao,Web,Closed Won,23990,2026-09-04,2026-02-09,True,True,"Renewal likely, happy with support."
OPP-1147,Cobalt Labs,APAC,Healthcare,B. Singh,Partner,Closed Lost,251695,2026-07-08,2025-06-19,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1148,Orion Corp,NA,Retail,C. Mehta,Web,Negotiation,6871,2025-08-01,2026-09-15,False,False,"Champion left the company, deal stalled."
OPP-1149,Meridian Group,APAC,Finance,D. Patel,Event,Qualification,39170,2026-11-22,2025-02-14,False,False,"Champion left the company, deal stalled."
OPP-1150,Pinnacle Systems,LATAM,Retail,C. Mehta,Outbound,Proposal,25266,2026-09-07,2026-02-13,False,False,Competitor Nimbus offered lower price.
OPP-1151,Atlas Group,LATAM,Retail,A. Rao,Web,Prospecting,249388,2024-07-12,2026-03-07,False,False,"Champion left the company, deal stalled."
OPP-1152,Summit Corp,NA,Manufacturing,E. Shah,Event,Prospecting,38610,2025-08-17,2025-06-20,False,False,Waiting on legal review of MSA.
OPP-1153,Acme Labs,APAC,Finance,A. Rao,Partner,Negotiation,120305,2026-09-16,2026-08-27,False,False,"Renewal likely, happy with support."
OPP-1154,Cobalt Industries,NA,Technology,E. Shah,Partner,Closed Won,5444,2026-12-21,2026-05-21,True,True,"Budget approved, moving to procurement."
OPP-1155,Acme Systems,EMEA,Healthcare,A. Rao,Partner,Negotiation,249557,2026-10-25,2025-11-08,False,False,Waiting on legal review of MSA.
OPP-1156,Acme Group,NA,Retail,B. Singh,Outbound,Proposal,40055,2025-12-07,2026-12-24,False,False,Waiting on legal review of MSA.
OPP-1157,Summit Labs,APAC,Finance,E. Shah,Partner,Closed Lost,26918,2025-09-13,2025-08-18,True,False,Lost on missing SOC2 compliance.
OPP-1158,Vertex Group,LATAM,Finance,D. Patel,Event,Closed Lost,13856,2025-09-10,2026-05-23,True,False,"Renewal likely, happy with support."
OPP-1159,Meridian Industries,APAC,Technology,C. Mehta,Web,Qualification,41669,2026-11-18,2026-06-25,False,False,Waiting on legal review of MSA.
OPP-1160,Atlas Corp,APAC,Healthcare,A. Rao,Outbound,Closed Lost,38876,2026-05-24,2025-09-09,True,False,Lost on missing SOC2 compliance.
OPP-1161,Summit Labs,LATAM,Technology,B. Singh,Web,Qualification,118953,2026-09-08,2025-02-14,False,False,"Budget approved, moving to procurement."
OPP-1162,Zenith Labs,EMEA,Technology,E. Shah,Referral,Proposal,13096,2025-08-21,2026-06-10,False,False,"Champion left the company, deal stalled."
OPP-1163,Pinnacle Labs,NA,Finance,A. Rao,Web,Closed Lost,13825,2024-07-27,2025-07-26,True,False,"Renewal likely, happy with support."
OPP-1164,Pinnacle Systems,LATAM,Finance,B. Singh,Web,Closed Won,40626,2024-06-10,2026-03-28,True,True,Waiting on legal review of MSA.
OPP-1165,Orion Group,NA,Healthcare,E. Shah,Partner,Qualification,118762,2025-11-09,2025-12-11,False,False,Price too high vs competitor Vega.
OPP-1166,Orion Corp,EMEA,Finance,D. Patel,Referral,Negotiation,3756,2024-07-22,2025-08-11,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1167,Summit Group,NA,Technology,A. Rao,Partner,Closed Won,120346,2025-05-19,2025-05-21,True,True,"Renewal likely, happy with support."
OPP-1168,Summit Group,NA,Healthcare,B. Singh,Partner,Qualification,249273,2026-09-23,2025-11-10,False,False,"Budget approved, moving to procurement."
OPP-1169,Zenith Systems,NA,Healthcare,E. Shah,Web,Negotiation,120249,2026-06-14,2026-09-26,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1170,Meridian Industries,NA,Finance,E. Shah,Partner,Negotiation,3252,2025-02-19,2025-10-18,False,False,Competitor Nimbus offered lower price.
OPP-1171,Meridian Group,LATAM,Manufacturing,E. Shah,Web,Closed Won,6681,2026-10-16,2026-01-15,True,True,"Strong technical fit, exec sponsor engaged."
OPP-1172,Atlas Systems,EMEA,Technology,D. Patel,Event,Closed Won,39042,2025-12-01,2025-12-07,True,True,Competitor Nimbus offered lower price.
OPP-1173,Meridian Group,LATAM,Finance,D. Patel,Partner,Negotiation,4175,2024-02-16,2026-03-25,False,False,Price too high vs competitor Vega.
OPP-1174,Pinnacle Industries,LATAM,Retail,B. Singh,Referral,Proposal,73544,2026-11-28,2026-02-06,False,False,"Champion left the company, deal stalled."
OPP-1175,Vertex Industries,NA,Manufacturing,C. Mehta,Referral,Closed Won,120230,2025-08-22,2026-09-13,True,True,"Renewal likely, happy with support."
OPP-1176,Acme Labs,NA,Healthcare,A. Rao,Web,Qualification,250704,2026-02-02,2026-10-25,False,False,"Champion left the company, deal stalled."
OPP-1177,Vertex Industries,NA,Technology,B. Singh,Outbound,Proposal,4002,2026-12-28,2025-07-15,False,False,"Renewal likely, happy with support."
OPP-1178,Meridian Industries,NA,Manufacturing,C. Mehta,Event,Qualification,75449,2026-10-11,2026-04-10,False,False,"Champion left the company, deal stalled."
OPP-1179,Acme Group,APAC,Manufacturing,E. Shah,Event,Closed Won,120780,2026-12-06,2026-09-16,True,True,Price too high vs competitor Vega.
OPP-1180,Vertex Industries,APAC,Healthcare,D. Patel,Web,Proposal,250203,2025-07-06,2026-04-28,False,False,Price too high vs competitor Vega.
OPP-1181,Zenith Labs,EMEA,Manufacturing,C. Mehta,Web,Closed Lost,38994,2026-09-05,2026-04-11,True,False,Lost on missing SOC2 compliance.
